Title,Description,Date,Category,Cleaned_Title,Cleaned_Description,Spellchecked_Title,Spellchecked_Description,tokenized_title,tokenized_description,title_no_stopwords,description_no_stopwords,title_stem_only,description_stem_only,title_lemma_only,description_lemma_only
Scientists want to track the world's biodiversity using DNA in the air,"May 22, 2025  Scientists have found a way to sample DNA out of the air on a large scale — making it possible to one day track the health and well being of all kinds of species around the world.",2025-05-22,science,scientists want to track the worlds biodiversity using dna in the air,may scientists have found a way to sample dna out of the air on a large scale making it possible to one day track the health and well being of all kinds of species around the world,scientists want to track the worlds biodiversity using dna in the air,may scientists have found a way to sample dna out of the air on a large scale making it possible to one day track the health and well being of all kinds of species around the world,"['scientists', 'want', 'to', 'track', 'the', 'worlds', 'biodiversity', 'using', 'dna', 'in', 'the', 'air']","['may', 'scientists', 'have', 'found', 'a', 'way', 'to', 'sample', 'dna', 'out', 'of', 'the', 'air', 'on', 'a', 'large', 'scale', 'making', 'it', 'possible', 'to', 'one', 'day', 'track', 'the', 'health', 'and', 'well', 'being', 'of', 'all', 'kinds', 'of', 'species', 'around', 'the', 'world']","['scientists', 'want', 'track', 'worlds', 'biodiversity', 'using', 'dna', 'air']","['may', 'scientists', 'found', 'way', 'sample', 'dna', 'air', 'large', 'scale', 'making', 'possible', 'one', 'day', 'track', 'health', 'well', 'kinds', 'species', 'around', 'world']","['scientist', 'want', 'track', 'world', 'biodivers', 'use', 'dna', 'air']","['may', 'scientist', 'found', 'way', 'sampl', 'dna', 'air', 'larg', 'scale', 'make', 'possibl', 'one', 'day', 'track', 'health', 'well', 'kind', 'speci', 'around', 'world']","['scientist', 'want', 'track', 'world', 'biodiversity', 'use', 'dna', 'air']","['may', 'scientist', 'find', 'way', 'sample', 'dna', 'air', 'large', 'scale', 'make', 'possible', 'one', 'day', 'track', 'health', 'good', 'kind', 'species', 'around', 'world']"
"First FDA-cleared Alzheimer's blood test could make diagnoses faster, more accurate","May 21, 2025  The first Alzheimer's blood test cleared by the Food And Drug Administration is poised to change the way doctors diagnose and treat the disease.",2025-05-21,science,first fdacleared alzheimers blood test could make diagnoses faster more accurate,may the first alzheimers blood test cleared by the food and drug administration is poised to change the way doctors diagnose and treat the disease,first uncleared blood test could make diagnoses faster more accurate,may the first blood test cleared by the food and drug administration is poised to change the way doctors diagnose and treat the disease,"['first', 'uncleared', 'blood', 'test', 'could', 'make', 'diagnoses', 'faster', 'more', 'accurate']","['may', 'the', 'first', 'blood', 'test', 'cleared', 'by', 'the', 'food', 'and', 'drug', 'administration', 'is', 'poised', 'to', 'change', 'the', 'way', 'doctors', 'diagnose', 'and', 'treat', 'the', 'disease']","['first', 'uncleared', 'blood', 'test', 'make', 'diagnoses', 'faster', 'accurate']","['may', 'first', 'blood', 'test', 'cleared', 'food', 'drug', 'administration', 'poised', 'change', 'way', 'doctors', 'diagnose', 'treat', 'disease']","['first', 'unclear', 'blood', 'test', 'make', 'diagnos', 'faster', 'accur']","['may', 'first', 'blood', 'test', 'clear', 'food', 'drug', 'administr', 'pois', 'chang', 'way', 'doctor', 'diagnos', 'treat', 'diseas']","['first', 'uncleared', 'blood', 'test', 'make', 'diagnose', 'fast', 'accurate']","['may', 'first', 'blood', 'test', 'clear', 'food', 'drug', 'administration', 'poise', 'change', 'way', 'doctor', 'diagnose', 'treat', 'disease']"
A brain-dead woman's pregnancy raises questions about Georgia's abortion law,"May 21, 2025  A Georgia woman declared brain dead is being kept on life support because she is pregnant.  It raises complicated legal questions about restrictive abortion laws in Georgia and other states.",2025-05-21,science,a braindead womans pregnancy raises questions about georgias abortion law,may a georgia woman declared brain dead is being kept on life support because she is pregnant it raises complicated legal questions about restrictive abortion laws in georgia and other states,a brain dead woman pregnancy raises questions about abortion law,may a georgia woman declared brain dead is being kept on life support because she is pregnant it raises complicated legal questions about restrictive abortion laws in georgia and other states,"['a', 'brain', 'dead', 'woman', 'pregnancy', 'raises', 'questions', 'about', 'abortion', 'law']","['may', 'a', 'georgia', 'woman', 'declared', 'brain', 'dead', 'is', 'being', 'kept', 'on', 'life', 'support', 'because', 'she', 'is', 'pregnant', 'it', 'raises', 'complicated', 'legal', 'questions', 'about', 'restrictive', 'abortion', 'laws', 'in', 'georgia', 'and', 'other', 'states']","['brain', 'dead', 'woman', 'pregnancy', 'raises', 'questions', 'abortion', 'law']","['may', 'georgia', 'woman', 'declared', 'brain', 'dead', 'kept', 'life', 'support', 'pregnant', 'raises', 'complicated', 'legal', 'questions', 'restrictive', 'abortion', 'laws', 'georgia', 'states']","['brain', 'dead', 'woman', 'pregnanc', 'rais', 'question', 'abort', 'law']","['may', 'georgia', 'woman', 'declar', 'brain', 'dead', 'kept', 'life', 'support', 'pregnant', 'rais', 'complic', 'legal', 'question', 'restrict', 'abort', 'law', 'georgia', 'state']","['brain', 'dead', 'woman', 'pregnancy', 'raise', 'question', 'abortion', 'law']","['may', 'georgia', 'woman', 'declare', 'brain', 'dead', 'keep', 'life', 'support', 'pregnant', 'raise', 'complicate', 'legal', 'question', 'restrictive', 'abortion', 'law', 'georgia', 'state']"
A man let snakes bite him for years. He could be the key to a universal antivenom,"May 21, 2025  What's it like to get bit by a venomous snake? ""It's like a bee sting times a thousand,"" Tim Friede says. Tim would know. Over the past few decades, he's let himself be bitten over 200 times by all kinds of venomous snakes — black mambas, taipans, cobras, kraits and more. With time, he's gradually built immunity to multiple types of venom. Could scientists help him share that immunity with others?",2025-05-21,science,a man let snakes bite him for years he could be the key to a universal antivenom,may what is it like to get bit by a venomous snake it is like a bee sting times a thousand tim friede says tim would know over the past few decades he is let himself be bitten over times by all kinds of venomous snakes black mambas taipans cobras kraits and more with time he is gradually built immunity to multiple types of venom could scientists help him share that immunity with others,a man let snakes bite him for years he could be the key to a universal antivenom,may what is it like to get bit by a venomous snake it is like a bee sting times a thousand chm fried says chm would know over the past few decades he is let himself be bitten over times by all kinds of venomous snakes black mambas cobras and more with time he is gradually built immunity to multiple types of venom could scientists help him share that immunity with others,"['a', 'man', 'let', 'snakes', 'bite', 'him', 'for', 'years', 'he', 'could', 'be', 'the', 'key', 'to', 'a', 'universal', 'antivenom']","['may', 'what', 'is', 'it', 'like', 'to', 'get', 'bit', 'by', 'a', 'venomous', 'snake', 'it', 'is', 'like', 'a', 'bee', 'sting', 'times', 'a', 'thousand', 'chm', 'fried', 'says', 'chm', 'would', 'know', 'over', 'the', 'past', 'few', 'decades', 'he', 'is', 'let', 'himself', 'be', 'bitten', 'over', 'times', 'by', 'all', 'kinds', 'of', 'venomous', 'snakes', 'black', 'mambas', 'cobras', 'and', 'more', 'with', 'time', 'he', 'is', 'gradually', 'built', 'immunity', 'to', 'multiple', 'types', 'of', 'venom', 'could', 'scientists', 'help', 'him', 'share', 'that', 'immunity', 'with', 'others']","['man', 'let', 'snakes', 'bite', 'years', 'key', 'universal', 'antivenom']","['may', 'like', 'get', 'bit', 'venomous', 'snake', 'like', 'bee', 'sting', 'times', 'thousand', 'chm', 'fried', 'says', 'chm', 'know', 'past', 'decades', 'let', 'bitten', 'times', 'kinds', 'venomous', 'snakes', 'black', 'mambas', 'cobras', 'time', 'gradually', 'built', 'immunity', 'multiple', 'types', 'venom', 'scientists', 'help', 'share', 'immunity', 'others']","['man', 'let', 'snake', 'bite', 'year', 'key', 'univers', 'antivenom']","['may', 'like', 'get', 'bit', 'venom', 'snake', 'like', 'bee', 'sting', 'time', 'thousand', 'chm', 'fri', 'say', 'chm', 'know', 'past', 'decad', 'let', 'bitten', 'time', 'kind', 'venom', 'snake', 'black', 'mamba', 'cobra', 'time', 'gradual', 'built', 'immun', 'multipl', 'type', 'venom', 'scientist', 'help', 'share', 'immun', 'other']","['man', 'let', 'snake', 'bite', 'year', 'key', 'universal', 'antivenom']","['may', 'like', 'get', 'bite', 'venomous', 'snake', 'like', 'bee', 'sting', 'time', 'thousand', 'chm', 'fry', 'say', 'chm', 'know', 'past', 'decade', 'let', 'bite', 'time', 'kind', 'venomous', 'snake', 'black', 'mamba', 'cobra', 'time', 'gradually', 'build', 'immunity', 'multiple', 'type', 'venom', 'scientist', 'help', 'share', 'immunity', 'other']"
"12,000 chicks found abandoned in postal truck raise concerns about animal shipping","May 20, 2025  A Delaware animal shelter is working to find new homes for 8,000 surviving chicks that were left abandoned in a U.S. Postal Service truck for three days. Another 4,000 of the animals died.",2025-05-20,science,chicks found abandoned in postal truck raise concerns about animal shipping,may a delaware animal shelter is working to find new homes for surviving chicks that were left abandoned in a us postal service truck for three days another of the animals died,chicks found abandoned in postal truck raise concerns about animal shipping,may a delaware animal shelter is working to find new homes for surviving chicks that were left abandoned in a us postal service truck for three days another of the animals died,"['chicks', 'found', 'abandoned', 'in', 'postal', 'truck', 'raise', 'concerns', 'about', 'animal', 'shipping']","['may', 'a', 'delaware', 'animal', 'shelter', 'is', 'working', 'to', 'find', 'new', 'homes', 'for', 'surviving', 'chicks', 'that', 'were', 'left', 'abandoned', 'in', 'a', 'us', 'postal', 'service', 'truck', 'for', 'three', 'days', 'another', 'of', 'the', 'animals', 'died']","['chicks', 'found', 'abandoned', 'postal', 'truck', 'raise', 'concerns', 'animal', 'shipping']","['may', 'delaware', 'animal', 'shelter', 'working', 'find', 'new', 'homes', 'surviving', 'chicks', 'left', 'abandoned', 'us', 'postal', 'service', 'truck', 'three', 'days', 'another', 'animals', 'died']","['chick', 'found', 'abandon', 'postal', 'truck', 'rais', 'concern', 'anim', 'ship']","['may', 'delawar', 'anim', 'shelter', 'work', 'find', 'new', 'home', 'surviv', 'chick', 'left', 'abandon', 'us', 'postal', 'servic', 'truck', 'three', 'day', 'anoth', 'anim', 'die']","['chick', 'find', 'abandon', 'postal', 'truck', 'raise', 'concern', 'animal', 'ship']","['may', 'delaware', 'animal', 'shelter', 'work', 'find', 'new', 'home', 'survive', 'chick', 'leave', 'abandon', 'us', 'postal', 'service', 'truck', 'three', 'day', 'another', 'animal', 'die']"
Trump unveils ambitious and expensive plans for 'Golden Dome' missile defense,"May 20, 2025  The plan includes a vast array of space-based sensors and interceptors.",2025-05-20,science,trump unveils ambitious and expensive plans for golden dome missile defense,may the plan includes a vast array of spacebased sensors and interceptors,trump unveils ambitious and expensive plans for golden dome missile defense,may the plan includes a vast array of sensors and interceptors,"['trump', 'unveils', 'ambitious', 'and', 'expensive', 'plans', 'for', 'golden', 'dome', 'missile', 'defense']","['may', 'the', 'plan', 'includes', 'a', 'vast', 'array', 'of', 'sensors', 'and', 'interceptors']","['trump', 'unveils', 'ambitious', 'expensive', 'plans', 'golden', 'dome', 'missile', 'defense']","['may', 'plan', 'includes', 'vast', 'array', 'sensors', 'interceptors']","['trump', 'unveil', 'ambiti', 'expens', 'plan', 'golden', 'dome', 'missil', 'defens']","['may', 'plan', 'includ', 'vast', 'array', 'sensor', 'interceptor']","['trump', 'unveil', 'ambitious', 'expensive', 'plan', 'golden', 'dome', 'missile', 'defense']","['may', 'plan', 'include', 'vast', 'array', 'sensor', 'interceptor']"
"A broken thruster jeopardized Voyager 1, but engineers executed a remote fix","May 20, 2025  NASA mission controllers raced against time to find a solution before a crucial ground-based radio used for communicating with Voyagers 1 and 2, went offline for upgrades.",2025-05-20,science,a broken thruster jeopardized voyager but engineers executed a remote fix,may nasa mission controllers raced against time to find a solution before a crucial groundbased radio used for communicating with voyagers and went offline for upgrades,a broken jeopardized voyager but engineers executed a remote fix,may nasa mission controllers raced against time to find a solution before a crucial groundbreaking radio used for communicating with voyagers and went offline for upgrades,"['a', 'broken', 'jeopardized', 'voyager', 'but', 'engineers', 'executed', 'a', 'remote', 'fix']","['may', 'nasa', 'mission', 'controllers', 'raced', 'against', 'time', 'to', 'find', 'a', 'solution', 'before', 'a', 'crucial', 'groundbreaking', 'radio', 'used', 'for', 'communicating', 'with', 'voyagers', 'and', 'went', 'offline', 'for', 'upgrades']","['broken', 'jeopardized', 'voyager', 'engineers', 'executed', 'remote', 'fix']","['may', 'nasa', 'mission', 'controllers', 'raced', 'time', 'find', 'solution', 'crucial', 'groundbreaking', 'radio', 'used', 'communicating', 'voyagers', 'went', 'offline', 'upgrades']","['broken', 'jeopard', 'voyag', 'engin', 'execut', 'remot', 'fix']","['may', 'nasa', 'mission', 'control', 'race', 'time', 'find', 'solut', 'crucial', 'groundbreak', 'radio', 'use', 'communic', 'voyag', 'went', 'offlin', 'upgrad']","['break', 'jeopardize', 'voyager', 'engineer', 'execute', 'remote', 'fix']","['may', 'nasa', 'mission', 'controller', 'race', 'time', 'find', 'solution', 'crucial', 'groundbreaking', 'radio', 'use', 'communicate', 'voyager', 'go', 'offline', 'upgrade']"
Trump is gutting environmental agencies. What does that mean for Americans?,"May 20, 2025  The Trump administration is rewriting policies and reducing funding for multiple agencies that handle climate change, including NOAA, EPA and FEMA. We asked NPR reporters Lauren Sommer and Alejandra Borunda what that the implications of that are — and who the changes will affect.",2025-05-20,science,trump is gutting environmental agencies what does that mean for americans,may the trump administration is rewriting policies and reducing funding for multiple agencies that handle climate change including noaa epa and fema we asked npr reporters lauren sommer and alejandra borunda what that the implications of that are and who the changes will affect,trump is gutting environmental agencies what does that mean for cameraman,may the trump administration is rewriting policies and reducing funding for multiple agencies that handle climate change including nova epa and fame we asked npr reporters lauren and alejandra boundary what that the implications of that are and who the changes will affect,"['trump', 'is', 'gutting', 'environmental', 'agencies', 'what', 'does', 'that', 'mean', 'for', 'cameraman']","['may', 'the', 'trump', 'administration', 'is', 'rewriting', 'policies', 'and', 'reducing', 'funding', 'for', 'multiple', 'agencies', 'that', 'handle', 'climate', 'change', 'including', 'nova', 'epa', 'and', 'fame', 'we', 'asked', 'npr', 'reporters', 'lauren', 'and', 'alejandra', 'boundary', 'what', 'that', 'the', 'implications', 'of', 'that', 'are', 'and', 'who', 'the', 'changes', 'will', 'affect']","['trump', 'gutting', 'environmental', 'agencies', 'mean', 'cameraman']","['may', 'trump', 'administration', 'rewriting', 'policies', 'reducing', 'funding', 'multiple', 'agencies', 'handle', 'climate', 'change', 'including', 'nova', 'epa', 'fame', 'asked', 'npr', 'reporters', 'lauren', 'alejandra', 'boundary', 'implications', 'changes', 'affect']","['trump', 'gut', 'environment', 'agenc', 'mean', 'cameraman']","['may', 'trump', 'administr', 'rewrit', 'polici', 'reduc', 'fund', 'multipl', 'agenc', 'handl', 'climat', 'chang', 'includ', 'nova', 'epa', 'fame', 'ask', 'npr', 'report', 'lauren', 'alejandra', 'boundari', 'implic', 'chang', 'affect']","['trump', 'gut', 'environmental', 'agency', 'mean', 'cameraman']","['may', 'trump', 'administration', 'rewrite', 'policy', 'reduce', 'fund', 'multiple', 'agency', 'handle', 'climate', 'change', 'include', 'nova', 'epa', 'fame', 'ask', 'npr', 'reporter', 'lauren', 'alejandra', 'boundary', 'implication', 'change', 'affect']"
Researchers puzzle over rash of baby monkey kidnappings,"May 19, 2025  Young, male capuchin monkeys have started kidnapping the babies of nearby howler monkeys. Why? Maybe boredom.",2025-05-19,science,researchers puzzle over rash of baby monkey kidnappings,may young male capuchin monkeys have started kidnapping the babies of nearby howler monkeys why maybe boredom,researchers puzzle over rash of baby monkey kidnappings,may young male capuchin monkeys have started kidnapping the babies of nearby howler monkeys why maybe boredom,"['researchers', 'puzzle', 'over', 'rash', 'of', 'baby', 'monkey', 'kidnappings']","['may', 'young', 'male', 'capuchin', 'monkeys', 'have', 'started', 'kidnapping', 'the', 'babies', 'of', 'nearby', 'howler', 'monkeys', 'why', 'maybe', 'boredom']","['researchers', 'puzzle', 'rash', 'baby', 'monkey', 'kidnappings']","['may', 'young', 'male', 'capuchin', 'monkeys', 'started', 'kidnapping', 'babies', 'nearby', 'howler', 'monkeys', 'maybe', 'boredom']","['research', 'puzzl', 'rash', 'babi', 'monkey', 'kidnap']","['may', 'young', 'male', 'capuchin', 'monkey', 'start', 'kidnap', 'babi', 'nearbi', 'howler', 'monkey', 'mayb', 'boredom']","['researcher', 'puzzle', 'rash', 'baby', 'monkey', 'kidnapping']","['may', 'young', 'male', 'capuchin', 'monkey', 'start', 'kidnap', 'baby', 'nearby', 'howler', 'monkey', 'maybe', 'boredom']"
Where does your weather forecast come from?,"May 19, 2025  Whether you get your forecast from an app on your phone, a website or a meteorologist on TV, most of the underlying information comes from the federal government.",2025-05-19,science,where does your weather forecast come from,may whether you get your forecast from an app on your phone a website or a meteorologist on tv most of the underlying information comes from the federal government,where does your weather forecast come from,may whether you get your forecast from an app on your phone a website or a meteorologist on tv most of the underlying information comes from the federal government,"['where', 'does', 'your', 'weather', 'forecast', 'come', 'from']","['may', 'whether', 'you', 'get', 'your', 'forecast', 'from', 'an', 'app', 'on', 'your', 'phone', 'a', 'website', 'or', 'a', 'meteorologist', 'on', 'tv', 'most', 'of', 'the', 'underlying', 'information', 'comes', 'from', 'the', 'federal', 'government']","['weather', 'forecast', 'come']","['may', 'whether', 'get', 'forecast', 'app', 'phone', 'website', 'meteorologist', 'tv', 'underlying', 'information', 'comes', 'federal', 'government']","['weather', 'forecast', 'come']","['may', 'whether', 'get', 'forecast', 'app', 'phone', 'websit', 'meteorologist', 'tv', 'under', 'inform', 'come', 'feder', 'govern']","['weather', 'forecast', 'come']","['may', 'whether', 'get', 'forecast', 'app', 'phone', 'website', 'meteorologist', 'tv', 'underlie', 'information', 'come', 'federal', 'government']"
Why this physicist says we shouldn't write off wormholes,"May 19, 2025  In science fiction, wormholes are hyperspace subway tubes linking one part of a galaxy directly to another, distant point. But could they actually exist? To find out, we talk to theoretical physicist Ron Gamble, who says wormholes aren't just a matter of science fiction — and they have big implications about the shape of space itself.",2025-05-19,science,why this physicist says we should not write off wormholes,may in science fiction wormholes are hyperspace subway tubes linking one part of a galaxy directly to another distant point but could they actually exist to find out we talk to theoretical physicist ron gamble who says wormholes are not just a matter of science fiction and they have big implications about the shape of space itself,why this physicist says we should not write off wormholes,may in science fiction wormholes are hyperspace subway tubes linking one part of a galaxy directly to another distant point but could they actually exist to find out we talk to theoretical physicist nor gamble who says wormholes are not just a matter of science fiction and they have big implications about the shape of space itself,"['why', 'this', 'physicist', 'says', 'we', 'should', 'not', 'write', 'off', 'wormholes']","['may', 'in', 'science', 'fiction', 'wormholes', 'are', 'hyperspace', 'subway', 'tubes', 'linking', 'one', 'part', 'of', 'a', 'galaxy', 'directly', 'to', 'another', 'distant', 'point', 'but', 'could', 'they', 'actually', 'exist', 'to', 'find', 'out', 'we', 'talk', 'to', 'theoretical', 'physicist', 'nor', 'gamble', 'who', 'says', 'wormholes', 'are', 'not', 'just', 'a', 'matter', 'of', 'science', 'fiction', 'and', 'they', 'have', 'big', 'implications', 'about', 'the', 'shape', 'of', 'space', 'itself']","['physicist', 'says', 'write', 'wormholes']","['may', 'science', 'fiction', 'wormholes', 'hyperspace', 'subway', 'tubes', 'linking', 'one', 'part', 'galaxy', 'directly', 'another', 'distant', 'point', 'actually', 'exist', 'find', 'talk', 'theoretical', 'physicist', 'gamble', 'says', 'wormholes', 'just', 'matter', 'science', 'fiction', 'big', 'implications', 'shape', 'space']","['physicist', 'say', 'write', 'wormhol']","['may', 'scienc', 'fiction', 'wormhol', 'hyperspac', 'subway', 'tube', 'link', 'one', 'part', 'galaxi', 'direct', 'anoth', 'distant', 'point', 'actual', 'exist', 'find', 'talk', 'theoret', 'physicist', 'gambl', 'say', 'wormhol', 'just', 'matter', 'scienc', 'fiction', 'big', 'implic', 'shape', 'space']","['physicist', 'say', 'write', 'wormholes']","['may', 'science', 'fiction', 'wormholes', 'hyperspace', 'subway', 'tube', 'link', 'one', 'part', 'galaxy', 'directly', 'another', 'distant', 'point', 'actually', 'exist', 'find', 'talk', 'theoretical', 'physicist', 'gamble', 'say', 'wormholes', 'just', 'matter', 'science', 'fiction', 'big', 'implication', 'shape', 'space']"
"Paleontologists discover a 500-million-year-old, 3-eyed predator","May 17, 2025  Fossils of the underwater predator shed new light on biodiversity from the Cambrian period.",2025-05-17,science,paleontologists discover a millionyearold eyed predator,may fossils of the underwater predator shed new light on biodiversity from the cambrian period,paleontologists discover a eyed predator,may fossils of the underwater predator shed new light on biodiversity from the cambrian period,"['paleontologists', 'discover', 'a', 'eyed', 'predator']","['may', 'fossils', 'of', 'the', 'underwater', 'predator', 'shed', 'new', 'light', 'on', 'biodiversity', 'from', 'the', 'cambrian', 'period']","['paleontologists', 'discover', 'eyed', 'predator']","['may', 'fossils', 'underwater', 'predator', 'shed', 'new', 'light', 'biodiversity', 'cambrian', 'period']","['paleontologist', 'discov', 'eye', 'predat']","['may', 'fossil', 'underwat', 'predat', 'shed', 'new', 'light', 'biodivers', 'cambrian', 'period']","['paleontologist', 'discover', 'eye', 'predator']","['may', 'fossil', 'underwater', 'predator', 'shed', 'new', 'light', 'biodiversity', 'cambrian', 'period']"
Scientists have figured out why flamingos are such weird eaters,"May 16, 2025  Flamingos look silly when they eat, but new research suggests they're actually being smart.",2025-05-16,science,scientists have figured out why flamingos are such weird eaters,may flamingos look silly when they eat but new research suggests they are actually being smart,scientists have figured out why flamingos are such weird eaters,may flamingos look silly when they eat but new research suggests they are actually being smart,"['scientists', 'have', 'figured', 'out', 'why', 'flamingos', 'are', 'such', 'weird', 'eaters']","['may', 'flamingos', 'look', 'silly', 'when', 'they', 'eat', 'but', 'new', 'research', 'suggests', 'they', 'are', 'actually', 'being', 'smart']","['scientists', 'figured', 'flamingos', 'weird', 'eaters']","['may', 'flamingos', 'look', 'silly', 'eat', 'new', 'research', 'suggests', 'actually', 'smart']","['scientist', 'figur', 'flamingo', 'weird', 'eater']","['may', 'flamingo', 'look', 'silli', 'eat', 'new', 'research', 'suggest', 'actual', 'smart']","['scientist', 'figure', 'flamingo', 'weird', 'eater']","['may', 'flamingo', 'look', 'silly', 'eat', 'new', 'research', 'suggest', 'actually', 'smart']"
Why UnitedHealth's terrible year is dragging down the Dow,"May 16, 2025  The health care giant's shares are down more than 50% in the last month. That's hurting the powerful U.S. stock-market index.",2025-05-16,science,why unitedhealths terrible year is dragging down the dow,may the health care giants shares are down more than in the last month that is hurting the powerful us stockmarket index,why terrible year is dragging down the dow,may the health care giants shares are down more than in the last month that is hurting the powerful us index,"['why', 'terrible', 'year', 'is', 'dragging', 'down', 'the', 'dow']","['may', 'the', 'health', 'care', 'giants', 'shares', 'are', 'down', 'more', 'than', 'in', 'the', 'last', 'month', 'that', 'is', 'hurting', 'the', 'powerful', 'us', 'index']","['terrible', 'year', 'dragging', 'dow']","['may', 'health', 'care', 'giants', 'shares', 'last', 'month', 'hurting', 'powerful', 'us', 'index']","['terribl', 'year', 'drag', 'dow']","['may', 'health', 'care', 'giant', 'share', 'last', 'month', 'hurt', 'power', 'us', 'index']","['terrible', 'year', 'drag', 'dow']","['may', 'health', 'care', 'giant', 'share', 'last', 'month', 'hurt', 'powerful', 'us', 'index']"
The DNA secret behind orange cats,"May 16, 2025  Approximately 80% of orange cats are males, including the four orange cats owned by the Short Wave team. Scientists have long suspected that orange color was a sex-linked trait — hiding somewhere on the X chromosome. Now, scientists at Stanford University and Kyushu University in Japan have characterized the mutation responsible for orange cat coloration. Both groups published their results in the journal Cell Biology this week.",2025-05-16,science,the dna secret behind orange cats,may approximately of orange cats are males including the four orange cats owned by the short wave team scientists have long suspected that orange color was a sexlinked trait hiding somewhere on the x chromosome now scientists at stanford university and kyushu university in japan have characterized the mutation responsible for orange cat coloration both groups published their results in the journal cell biology this week,the dna secret behind orange cats,may approximately of orange cats are males including the four orange cats owned by the short wave team scientists have long suspected that orange color was a interlinked trait hiding somewhere on the x chromosome now scientists at stanford university and university in japan have characterized the mutation responsible for orange cat coloration both groups published their results in the journal cell biology this week,"['the', 'dna', 'secret', 'behind', 'orange', 'cats']","['may', 'approximately', 'of', 'orange', 'cats', 'are', 'males', 'including', 'the', 'four', 'orange', 'cats', 'owned', 'by', 'the', 'short', 'wave', 'team', 'scientists', 'have', 'long', 'suspected', 'that', 'orange', 'color', 'was', 'a', 'interlinked', 'trait', 'hiding', 'somewhere', 'on', 'the', 'x', 'chromosome', 'now', 'scientists', 'at', 'stanford', 'university', 'and', 'university', 'in', 'japan', 'have', 'characterized', 'the', 'mutation', 'responsible', 'for', 'orange', 'cat', 'coloration', 'both', 'groups', 'published', 'their', 'results', 'in', 'the', 'journal', 'cell', 'biology', 'this', 'week']","['dna', 'secret', 'behind', 'orange', 'cats']","['may', 'approximately', 'orange', 'cats', 'males', 'including', 'four', 'orange', 'cats', 'owned', 'short', 'wave', 'team', 'scientists', 'long', 'suspected', 'orange', 'color', 'interlinked', 'trait', 'hiding', 'somewhere', 'x', 'chromosome', 'now', 'scientists', 'stanford', 'university', 'university', 'japan', 'characterized', 'mutation', 'responsible', 'orange', 'cat', 'coloration', 'groups', 'published', 'results', 'journal', 'cell', 'biology', 'week']","['dna', 'secret', 'behind', 'orang', 'cat']","['may', 'approxim', 'orang', 'cat', 'male', 'includ', 'four', 'orang', 'cat', 'own', 'short', 'wave', 'team', 'scientist', 'long', 'suspect', 'orang', 'color', 'interlink', 'trait', 'hide', 'somewher', 'x', 'chromosom', 'now', 'scientist', 'stanford', 'univers', 'univers', 'japan', 'character', 'mutat', 'respons', 'orang', 'cat', 'color', 'group', 'publish', 'result', 'journal', 'cell', 'biolog', 'week']","['dna', 'secret', 'behind', 'orange', 'cat']","['may', 'approximately', 'orange', 'cat', 'male', 'include', 'four', 'orange', 'cat', 'own', 'short', 'wave', 'team', 'scientist', 'long', 'suspect', 'orange', 'color', 'interlink', 'trait', 'hide', 'somewhere', 'x', 'chromosome', 'now', 'scientist', 'stanford', 'university', 'university', 'japan', 'characterize', 'mutation', 'responsible', 'orange', 'cat', 'coloration', 'group', 'publish', 'result', 'journal', 'cell', 'biology', 'week']"
The all-female free divers of Jeju Island have a 'superpower' in their genes,"May 15, 2025  The all-female Korean Haenyeo divers show genetic adaptations to cold-water diving involving their blood pressure and cold tolerance.  It's ""like they have a superpower,"" says one of the researchers.",2025-05-15,science,the allfemale free divers of jeju island have a superpower in their genes,may the allfemale korean haenyeo divers show genetic adaptations to coldwater diving involving their blood pressure and cold tolerance it is like they have a superpower says one of the researchers,the all female free divers of jejune island have a superpower in their genes,may the all female korean halfpenny divers show genetic adaptations to goldwater diving involving their blood pressure and cold tolerance it is like they have a superpower says one of the researchers,"['the', 'all', 'female', 'free', 'divers', 'of', 'jejune', 'island', 'have', 'a', 'superpower', 'in', 'their', 'genes']","['may', 'the', 'all', 'female', 'korean', 'halfpenny', 'divers', 'show', 'genetic', 'adaptations', 'to', 'goldwater', 'diving', 'involving', 'their', 'blood', 'pressure', 'and', 'cold', 'tolerance', 'it', 'is', 'like', 'they', 'have', 'a', 'superpower', 'says', 'one', 'of', 'the', 'researchers']","['female', 'free', 'divers', 'jejune', 'island', 'superpower', 'genes']","['may', 'female', 'korean', 'halfpenny', 'divers', 'show', 'genetic', 'adaptations', 'goldwater', 'diving', 'involving', 'blood', 'pressure', 'cold', 'tolerance', 'like', 'superpower', 'says', 'one', 'researchers']","['femal', 'free', 'diver', 'jejun', 'island', 'superpow', 'gene']","['may', 'femal', 'korean', 'halfpenni', 'diver', 'show', 'genet', 'adapt', 'goldwat', 'dive', 'involv', 'blood', 'pressur', 'cold', 'toler', 'like', 'superpow', 'say', 'one', 'research']","['female', 'free', 'diver', 'jejune', 'island', 'superpower', 'gene']","['may', 'female', 'korean', 'halfpenny', 'diver', 'show', 'genetic', 'adaptation', 'goldwater', 'dive', 'involve', 'blood', 'pressure', 'cold', 'tolerance', 'like', 'superpower', 'say', 'one', 'researcher']"
